subject_id,course_id,plan_type,semester,thai_subject,eng_subject,credits,compulsory_subject,condition,description_id,clo_id
517261,BSCS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,หลักการระบบฐานข้อมูลและการออกแบบ,Database System Concept and Design,3(2-2-5),517 121 ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 1,,517261,517261
520231,BSCS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,การวิเคราะห์ข้อมูล,Data Analytics,3(2-2-5),517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล หรือ 517 121 ทักษะการเขียนโปรแกรมคอมพิวเตอร์ 1,,520231,520231
SU402,BSCS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,นวัตกรรมและการออกแบบ,Innovation and Design,3(3-0-6),,,SU402,
517311,BSCS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,การวิเคราะห์และการออกแบบขั้นตอนวิธี,Algorithm Analysis and Design,3(3-0-6),517 211 โครงสร้างข้อมูล,,517311,517311
517312,BSCS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,ระบบปฏิบัติการ,Operating System,3(3-0-6),517 222 โครงสร้างและสถาปัตยกรรมคอมพิวเตอร์,,517312,517312
517321,BSCS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,หลักการภาษาโปรแกรม,Principles of Programming Languages,3(3-0-6),,,517321,517321
520251,BSCS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,การปฏิสัมพันธ์ระหว่างมนุษย์กับคอมพิวเตอร์และการออกแบบประสบการณ์ผู้ใช้,Human Computer Interaction and User Experience Design,3(3-0-6),,,520251,520251
520361,BSCS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,การวิเคราะห์และการออกแบบระบบงาน,System Analysis and Design,3(3-0-6),(1) 517 261 หลักการระบบฐานข้อมูลและการออกแบบ หรือ (2) 520 221 ระบบฐานข้อมูล 520 223 ภาษาเอสคิวแอลเบื้องต้น,,520361,520361
------,BSCS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,วิชาเลือกในหมวดวิชาเฉพาะ,,3,,,,
SUxxx,BSCS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,วิชาเลือก หมวดวิชาศึกษาทั่วไป,,3(3-0-6),,,,
