subject_id,course_id,plan_type,semester,thai_subject,eng_subject,credits,compulsory_subject,condition,description_id,clo_id
SU201,BSDS65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,ภาษาอังกฤษในยุคดิจิทัล,English in the Digital Era,3(2-2-5),,นักศึกษาที่มีผลการทดสอบภาษาอังกฤษแรกเข้า ตั้งแต่ระดับ B1 ขึ้นไป หรือมีผลการทดสอบ ภาษาอังกฤษจากสถาบันทดสอบภาษาอื่นที่เทียบเท่า ตั้งแต่ระดับ B1 ขึ้นไป ตามประกาศของ มหาวิทยาลัย ได้รับการยกเว้นไม่ต้องลงทะเบียนเรียนรายวิชา SU201,SU201,
SU301,BSDS65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,พลเมืองตื่นรู้,Active Citizen,3(3-0-6),,,SU301,
511110,BSDS65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,แคลคูลัสสำหรับการวิเคราะห์ข้อมูล 1,Calculus for Data Analytics I,3(3-0-6) ,,,511110,511110
515104,BSDS65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,สถิติสำหรับคอมพิวเตอร์,Statistics for Computing,"	3(2-2-5)",,,515104,515104
517111,BSDS65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล,Computer Programming for Data Scientists,3(2-2-5) ,,,517111,517111
SUXXX,BSDS65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 1,วิชาเลือกในหมวดวิชาศึกษาทั่วไป,,3,,,,
SU102,BSDS65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 2,ศิลปากรสร้างสรรค์,Creative Silpakorn,3(3-0-6),,,SU102,
SU202,BSDS65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 2,ภาษาอังกฤษเพื่อการสื่อสารนานาชาติ,English for International Communication,3(2-2-5),SU201 ภาษาอังกฤษในยุคดิจิทัล,นักศึกษาที่มีผลการทดสอบภาษาอังกฤษแรกเข้า ตั้งแต่ระดับ B2 ขึ้นไป หรือมีผลการทดสอบ ภาษาอังกฤษจากสถาบันทดสอบภาษาอื่นที่เทียบเท่าตั้งแต่ระดับ B2 ขึ้นไป ตามประกาศของ มหาวิทยาลัย ได้รับการยกเว้นไม่ต้องลงทะเบียนเรียนรายวิชา SU202,SU202,
SU203,BSDS65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 2,ทักษะการสื่อสารอย่างสร้างสรรค์,Creative Communication Skills,3(3-0-6),,,SU203,
511111,BSDS65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 2,แคลคูลัสสำหรับการวิเคราะห์ข้อมูล 2,Calculus for Data Analytics II,3(3-0-6) ,511 110 แคลคูลัสสำหรับการวิเคราะห์ข้อมูล 1,,511111,511111
515271,BSDS65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 2,ความน่าจะเป็นสำหรับวิทยาการข้อมูล ,Probability for Data Science,3(3-0-6),511 110 แคลคูลัสสำหรับการวิเคราะห์ข้อมูล 1,,515271,515271
522151,BSDS65,โครงงานวิจัย,ปีที่ 1 ภาคการศึกษาที่ 2,พื้นฐานวิทยาการข้อมูล,Foundation of Data Science,3(3-0-6),,,522151,522151
511244,BSDS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 1,พีชคณิตเชิงเส้นสำหรับวิทยาการข้อมูล,Linear Algebra for Data Science,3(2-2-5) ,,,511244,511244
514231,BSDS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 1,ข้อมูลฟิสิกส์สำหรับนักวิทยาศาสตร์,Physics Data for Scientists,3(2-2-5) ,,,514231,514231
517214,BSDS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 1,โครงสร้างข้อมูลพื้นฐานสำหรับวิทยาการข้อมูล ,Fundamentals of Data Structures for Data Science,3(2-2-5),517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล,,517214,517214
522251,BSDS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 1,ฐานข้อมูลเชิงสัมพันธ์สำหรับวิทยาการข้อมูล,Relational Database for Data Science,3(2-2-5),517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล,,522251,522251
SUXXX,BSDS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 1,วิชาเลือกในหมวดวิชาศึกษาทั่วไป ,,3,,,,
------,BSDS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 1,วิชาเลือกเสรี,,3,,,,
SU401,BSDS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,ความเป็นผู้ประกอบการที่ขับเคลื่อนด้วยนวัตกรรม,Innovation-Driven Entrepreneurship,3(3-0-6),,,SU401,
522201,BSDS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,ภาษาอังกฤษเทคนิคสำหรับวิทยาการข้อมูล,Technical English for Data Science,3(3-0-6),,,522201,522201
522211,BSDS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,วิธีการคณนาสำหรับวิทยาการข้อมูล,Computational Methods for Data Science,3(2-2-5),,,522211,522211
522242,BSDS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,ธุรกิจดิจิทัลและการตลาดดิจิทัลเบื้องต้น,Introduction to Digital Business and Marketing,3(3-0-6),,,522242,522242
522253,BSDS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,การรวบรวมและกลั่นกรองข้อมูล ,Getting and Cleaning Data,3(2-2-5),517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล,,522253,522253
522351,BSDS65,โครงงานวิจัย,ปีที่ 2 ภาคการศึกษาที่ 2,การวิเคราะห์ข้อมูลเชิงสำรวจ,Exploratory Data Analysis,3(2-2-5),,,522351,522351
SU402,BSDS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,นวัตกรรมและการออกแบบ,Innovation and Design,3(3-0-6),,,SU402,
522301,BSDS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,จริยธรรมและความมั่นคงปลอดภัยของสารสนเทศ ,Ethics and Information Security,3(3-0-6),,,522301,522301
522356,BSDS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,การวิเคราะห์ข้อมูลและการทำเหมืองข้อมูล,Data Analytics and Data Mining,3(2-2-5),522 253 การรวบรวมและกลั่นกรองข้อมูล,,522356,522356
522361,BSDS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,การเรียนรู้ของเครื่องแบบมีผู้สอน,Supervised Machine Learning,3(2-2-5),"517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล
515 273 สถิติสำหรับวิทยาการข้อมูล",,522361,522361
522362,BSDS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,การประมวลผลข้อมูล,Data Processing,3(2-2-5) ,517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล,,522362,522362
------,BSDS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 1,วิชาเลือกในหมวดวิชาเฉพาะ,,3,,,,
522254,BSDS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,การประมวลผลข้อมูลขนาดใหญ่เบื้องต้น ,Introduction to Big Data Processing,3(2-2-5),517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล,,522254,522254
522322,BSDS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,เทคนิคการพยากรณ์สำหรับวิทยาการข้อมูล,Forecasting Techniques for Data Science, 3(2-2-5),,,522322,522322
522363,BSDS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,การเรียนรู้ของเครื่องแบบไม่มีผู้สอน,Unsupervised Machine Learning,3(2-2-5),"517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล
515 273 สถิติสำหรับวิทยาการข้อมูล",,522363,522363
522365,BSDS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,ปัญญาประดิษฐ์และการเรียนรู้เชิงลึก,Artificial Intelligence and Deep Learning,3(2-2-5),,,522365,522365
522391,BSDS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,ระเบียบวิธีวิจัย,Research Methods,3(2-2-5),,,522391,522391
522491,BSDS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,สัมมนา,Seminar,1(0-2-1),,วิชานี้วัดผลการศึกษาเป็น S หรือ U,522491,522491
------,BSDS65,โครงงานวิจัย,ปีที่ 3 ภาคการศึกษาที่ 2,วิชาเลือกในหมวดวิชาเฉพาะ,,3,,,,
------,BSDS65,โครงงานวิจัย,ปีที่ 4 ภาคการศึกษาที่ 1,วิชาเลือกในหมวดวิชาเฉพาะ,,6,,,,
522493,BSDS65,โครงงานวิจัย,ปีที่ 4 ภาคการศึกษาที่ 2,โครงงานวิจัย,Research Project,2(0-4-2),"522 391 ระเบียบวิธีวิจัย
522 491 สัมมนา",วิชานี้วัดผลการศึกษาเป็น  S หรือ U  ,522493,522493
------,BSDS65,โครงงานวิจัย,ปีที่ 4 ภาคการศึกษาที่ 2,วิชาเลือกเสรี,,3,,,,
SU101,BSDS65,สหกิจศึกษา,ปีที่ 1 ภาคการศึกษาที่ 1,ศิลปะศิลปากร,Silpakorn Arts,3(3-0-6),,,SU101,
SU201,BSDS65,สหกิจศึกษา,ปีที่ 1 ภาคการศึกษาที่ 1,ภาษาอังกฤษในยุคดิจิทัล,English in the Digital Era,3(2-2-5),,นักศึกษาที่มีผลการทดสอบภาษาอังกฤษแรกเข้า ตั้งแต่ระดับ B1 ขึ้นไป หรือมีผลการทดสอบ ภาษาอังกฤษจากสถาบันทดสอบภาษาอื่นที่เทียบเท่า ตั้งแต่ระดับ B1 ขึ้นไป ตามประกาศของ มหาวิทยาลัย ได้รับการยกเว้นไม่ต้องลงทะเบียนเรียนรายวิชา SU201,SU201,
SU301,BSDS65,สหกิจศึกษา,ปีที่ 1 ภาคการศึกษาที่ 1,พลเมืองตื่นรู้,Active Citizen,3(3-0-6),,,SU301,
511110,BSDS65,สหกิจศึกษา,ปีที่ 1 ภาคการศึกษาที่ 1,แคลคูลัสสำหรับการวิเคราะห์ข้อมูล 1,Calculus for Data Analytics I,3(3-0-6) ,,,511110,511110
515104,BSDS65,สหกิจศึกษา,ปีที่ 1 ภาคการศึกษาที่ 1,สถิติสำหรับคอมพิวเตอร์,Statistics for Computing,"	3(2-2-5)",,,515104,515104
517111,BSDS65,สหกิจศึกษา,ปีที่ 1 ภาคการศึกษาที่ 1,การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล,Computer Programming for Data Scientists,3(2-2-5) ,,,517111,517111
SUXXX,BSDS65,สหกิจศึกษา,ปีที่ 1 ภาคการศึกษาที่ 1,วิชาเลือกในหมวดวิชาศึกษาทั่วไป,,3,,,,
SU102,BSDS65,สหกิจศึกษา,ปีที่ 1 ภาคการศึกษาที่ 2,ศิลปากรสร้างสรรค์,Creative Silpakorn,3(3-0-6),,,SU102,
SU202,BSDS65,สหกิจศึกษา,ปีที่ 1 ภาคการศึกษาที่ 2,ภาษาอังกฤษเพื่อการสื่อสารนานาชาติ,English for International Communication,3(2-2-5),SU201 ภาษาอังกฤษในยุคดิจิทัล,นักศึกษาที่มีผลการทดสอบภาษาอังกฤษแรกเข้า ตั้งแต่ระดับ B2 ขึ้นไป หรือมีผลการทดสอบ ภาษาอังกฤษจากสถาบันทดสอบภาษาอื่นที่เทียบเท่าตั้งแต่ระดับ B2 ขึ้นไป ตามประกาศของ มหาวิทยาลัย ได้รับการยกเว้นไม่ต้องลงทะเบียนเรียนรายวิชา SU202,SU202,
SU203,BSDS65,สหกิจศึกษา,ปีที่ 1 ภาคการศึกษาที่ 2,ทักษะการสื่อสารอย่างสร้างสรรค์,Creative Communication Skills,3(3-0-6),,,SU203,
511111,BSDS65,สหกิจศึกษา,ปีที่ 1 ภาคการศึกษาที่ 2,แคลคูลัสสำหรับการวิเคราะห์ข้อมูล 2,Calculus for Data Analytics II,3(3-0-6) ,511 110 แคลคูลัสสำหรับการวิเคราะห์ข้อมูล 1,,511111,511111
515271,BSDS65,สหกิจศึกษา,ปีที่ 1 ภาคการศึกษาที่ 2,ความน่าจะเป็นสำหรับวิทยาการข้อมูล ,Probability for Data Science,3(3-0-6),511 110 แคลคูลัสสำหรับการวิเคราะห์ข้อมูล 1,,515271,515271
522151,BSDS65,สหกิจศึกษา,ปีที่ 1 ภาคการศึกษาที่ 2,พื้นฐานวิทยาการข้อมูล,Foundation of Data Science,3(3-0-6),,,522151,522151
511244,BSDS65,สหกิจศึกษา,ปีที่ 2 ภาคการศึกษาที่ 1,พีชคณิตเชิงเส้นสำหรับวิทยาการข้อมูล,Linear Algebra for Data Science,3(2-2-5) ,,,511244,511244
514231,BSDS65,สหกิจศึกษา,ปีที่ 2 ภาคการศึกษาที่ 1,ข้อมูลฟิสิกส์สำหรับนักวิทยาศาสตร์,Physics Data for Scientists,3(2-2-5) ,,,514231,514231
515273,BSDS65,สหกิจศึกษา,ปีที่ 2 ภาคการศึกษาที่ 1,สถิติสำหรับวิทยาการข้อมูล,Statistics for Data Science,3(2-2-5) ,515 104 สถิติสำหรับคอมพิวเตอร์,,515273,515273
517214,BSDS65,สหกิจศึกษา,ปีที่ 2 ภาคการศึกษาที่ 1,โครงสร้างข้อมูลพื้นฐานสำหรับวิทยาการข้อมูล ,Fundamentals of Data Structures for Data Science,3(2-2-5),517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล,,517214,517214
522251,BSDS65,สหกิจศึกษา,ปีที่ 2 ภาคการศึกษาที่ 1,ฐานข้อมูลเชิงสัมพันธ์สำหรับวิทยาการข้อมูล,Relational Database for Data Science,3(2-2-5),517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล,,522251,522251
SUXXX,BSDS65,สหกิจศึกษา,ปีที่ 2 ภาคการศึกษาที่ 1,วิชาเลือกในหมวดวิชาศึกษาทั่วไป,,3,,,,
------,BSDS65,สหกิจศึกษา,ปีที่ 2 ภาคการศึกษาที่ 1,วิชาเลือกเสรี,,3,,,,
SU401,BSDS65,สหกิจศึกษา,ปีที่ 2 ภาคการศึกษาที่ 2,ความเป็นผู้ประกอบการที่ขับเคลื่อนด้วยนวัตกรรม,Innovation-Driven Entrepreneurship,3(3-0-6),,,SU401,
522201,BSDS65,สหกิจศึกษา,ปีที่ 2 ภาคการศึกษาที่ 2,ภาษาอังกฤษเทคนิคสำหรับวิทยาการข้อมูล,Technical English for Data Science,3(3-0-6),,,522201,522201
522211,BSDS65,สหกิจศึกษา,ปีที่ 2 ภาคการศึกษาที่ 2,วิธีการคณนาสำหรับวิทยาการข้อมูล,Computational Methods for Data Science,3(2-2-5),,,522211,522211
522242,BSDS65,สหกิจศึกษา,ปีที่ 2 ภาคการศึกษาที่ 2,ธุรกิจดิจิทัลและการตลาดดิจิทัลเบื้องต้น,Introduction to Digital Business and Marketing,3(3-0-6),,,522242,522242
522253,BSDS65,สหกิจศึกษา,ปีที่ 2 ภาคการศึกษาที่ 2,การรวบรวมและกลั่นกรองข้อมูล ,Getting and Cleaning Data,3(2-2-5),517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล,,522253,522253
522351,BSDS65,สหกิจศึกษา,ปีที่ 2 ภาคการศึกษาที่ 2,การวิเคราะห์ข้อมูลเชิงสำรวจ,Exploratory Data Analysis,3(2-2-5),,,522351,522351
SU402,BSDS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 1,นวัตกรรมและการออกแบบ,Innovation and Design,3(3-0-6),,,SU402,
522301,BSDS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 1,จริยธรรมและความมั่นคงปลอดภัยของสารสนเทศ ,Ethics and Information Security,3(3-0-6),,,522301,522301
522356,BSDS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 1,การวิเคราะห์ข้อมูลและการทำเหมืองข้อมูล,Data Analytics and Data Mining,3(2-2-5),522 253 การรวบรวมและกลั่นกรองข้อมูล,,522356,522356
522361,BSDS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 1,การเรียนรู้ของเครื่องแบบมีผู้สอน,Supervised Machine Learning,3(2-2-5),"517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล
515 273 สถิติสำหรับวิทยาการข้อมูล",,522361,522361
522362,BSDS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 1,การประมวลผลข้อมูล,Data Processing,3(2-2-5) ,517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล,,522362,522362
------,BSDS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 1,วิชาเลือกในหมวดวิชาเฉพาะ,,3,,,,
522254,BSDS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,การประมวลผลข้อมูลขนาดใหญ่เบื้องต้น ,Introduction to Big Data Processing,3(2-2-5),517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล,,522254,522254
522322,BSDS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,เทคนิคการพยากรณ์สำหรับวิทยาการข้อมูล,Forecasting Techniques for Data Science, 3(2-2-5),,,522322,522322
522363,BSDS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,การเรียนรู้ของเครื่องแบบไม่มีผู้สอน,Unsupervised Machine Learning,3(2-2-5),"517 111 การเขียนโปรแกรมคอมพิวเตอร์สำหรับนักวิทยาการข้อมูล
515 273 สถิติสำหรับวิทยาการข้อมูล",,522363,522363
522365,BSDS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,ปัญญาประดิษฐ์และการเรียนรู้เชิงลึก,Artificial Intelligence and Deep Learning,3(2-2-5),,,522365,522365
522391,BSDS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,ระเบียบวิธีวิจัย,Research Methods,3(2-2-5),,,522391,522391
522392,BSDS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,เตรียมความพร้อมสำหรับสหกิจศึกษา,Preparation for Cooperative Education,1(0-2-1),,วิชานี้วัดผลการศึกษาเป็น S หรือ U,522392,522392
522491,BSDS65,สหกิจศึกษา,ปีที่ 3 ภาคการศึกษาที่ 2,สัมมนา,Seminar,1(0-2-1),,วิชานี้วัดผลการศึกษาเป็น S หรือ U,522491,522491
522496,BSDS65,สหกิจศึกษา,ปีที่ 4 ภาคการศึกษาที่ 1,สหกิจศึกษา,Cooperative Education,6(ไม่น้อยกว่า 600 ชั่วโมง),,"โดยความยินยอมของกรรมการบริหารหลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการข้อมูล
 วิชานี้วัดผลการศึกษาเป็น  S หรือ U",522496,522496
522497,BSDS65,สหกิจศึกษา,ปีที่ 4 ภาคการศึกษาที่ 2,สัมมนาสหกิจศึกษา,Cooperative Education Seminar,1(0-2-1),522 496 สหกิจศึกษา,วิชานี้วัดผลการศึกษาเป็น  S หรือ U,522497,522497
------,BSDS65,สหกิจศึกษา,ปีที่ 4 ภาคการศึกษาที่ 2,วิชาเลือกในหมวดวิชาเฉพาะ,,3,,,,
------,BSDS65,สหกิจศึกษา,ปีที่ 4 ภาคการศึกษาที่ 2,วิชาเลือกเสรี,,3,,,,
