description_id,description_thai,description_eng
517701,"แนวความคิดของข้อมูลสถิติ ข้อมูลและระดับการวัด เทคนิคการสุ่มตัวอย่าง สถิติพรรณนา การนำเสนอข้อมูลด้วยภาพ การทดสอบสมมติฐานทางสถิติเกี่ยวกับค่าเฉลี่ยและความแปรปรวนสำหรับหนึ่งประชากร สองประชากรและหลายประชากรด้วยสถิติที่อิงและไม่อิงพารามิเตอร์ การทดสอบไคสแควร์ การวิเคราะห์การถดถอยเชิงเส้นพหุคูณ และสหสัมพันธ์ การถดถอยลอจิสติกทวิภาค การประเมินและการคัดเลือกตัวแบบ การใช้ภาษาโปรแกรมในการวิเคราะห์และแปลผล","Concepts of statistical data. Data and level of measurements. Descriptive statistics. Data visualization. Hypothesis testing about mean and variance for one population, two populations, and several populations using parametric and nonparametric statistics. Chi-square test. Multiple regression analysis and correlation. Binary logistic regression. Model evaluation and selection. Utilization of programming language for analysis and interpretation."
517791,การนำเสนอและอภิปรายในหัวเรื่องที่เกี่ยวข้องในสาขาวิชาเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล  ,Presentation and discussion on topics related to information technology and digital innovation.
517792,การนำเสนอและอภิปรายในหัวเรื่องที่เกี่ยวข้องในสาขาวิชาเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล ประเมินผลการดำเนินงานของงานวิจัยที่ได้ทบทวนวรรณกรรม,Presentation and discussion on topics related to information technology and digital innovation. Evaluating literature review.
517793,"การนำเสนอและอภิปรายในหัวเรื่องที่เกี่ยวข้องในสาขาวิชาเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล ประเมินผลการดำเนินงานของงานวิจัยที่ได้ทบทวนวรรณกรรม",Presentation and discussion on topics related to information technology and digital innovation. Evaluating literature review.
517794,การนำเสนอและอภิปรายในหัวเรื่องที่เกี่ยวข้องในสาขาวิชาเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล ประเมินผลการดำเนินงานของงานวิจัยที่ได้ทบทวนวรรณกรรม การเตรียมร่างข้อเสนองานวิจัย,Presentation and discussion on topics related to information technology and digital innovation. Evaluating literature review. Preparation of a draft research proposal.
517891,การวิจัยในหัวข้อในสาขาวิชาเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัลภายใต้การควบคุมดูแลของอาจารย์ผู้ควบคุมวิทยานิพนธ์,Research on topics in the information technology and digital innovation under the supervision of a thesis advisor.
517892,การวิจัยในหัวข้อในสาขาวิชาเทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัลภายใต้การควบคุมดูแลของอาจารย์ผู้ควบคุมวิทยานิพนธ์,Research on topics in the information technology and digital innovation under the supervision of a thesis advisor.
